# x y z nx ny nz
3.073000 -1.229000 -0.005000 0.999577 -0.001823 0.029018
3.072000 -1.239000 -0.006000 0.993042 -0.013886 0.116936
3.068000 -1.248000 -0.008000 0.990447 -0.027994 0.135026
3.066000 -1.257000 -0.010000 0.985151 -0.024248 0.169971
3.068000 -1.268000 -0.012000 0.972880 -0.019251 0.230507
3.069000 -1.279000 -0.013000 0.978408 -0.009089 0.206485
3.068000 -1.289000 -0.015000 0.985978 0.007221 0.166720
3.071000 -1.300000 -0.017000 0.991746 0.008961 0.127907
3.068000 -1.309000 -0.019000 0.993166 0.018972 0.115161
3.067000 -1.319000 -0.021000 0.994744 0.023629 0.099633
3.072000 -1.332000 -0.023000 0.997396 0.019325 0.069482
3.073000 -1.342000 -0.025000 0.997089 0.016501 0.074442
3.073000 -1.353000 -0.027000 0.997380 0.005879 0.072106
3.073000 -1.363000 -0.029000 0.996424 0.000377 0.084496
3.070000 -1.372000 -0.031000 0.996716 -0.003333 0.080902
3.070000 -1.382000 -0.033000 0.997408 -0.011344 0.071052
3.070000 -1.392000 -0.035000 0.997578 -0.010642 0.068743
3.070000 -1.402000 -0.038000 0.997330 -0.012405 0.071962
3.067000 -1.411000 -0.040000 0.996875 -0.026551 0.074396
3.070000 -1.423000 -0.042000 0.996594 -0.029777 0.076899
3.068000 -1.432000 -0.045000 0.996568 -0.027203 0.078181
3.073000 -1.444000 -0.047000 0.997515 -0.015834 0.068658
3.069000 -1.452000 -0.049000 0.998469 -0.012341 0.053916
3.071000 -1.463000 -0.052000 0.998706 -0.011743 0.049484
3.072000 -1.474000 -0.055000 0.998734 -0.012830 0.048647
3.072000 -1.484000 -0.057000 0.999116 -0.013722 0.039736
3.067000 -1.492000 -0.060000 0.999084 -0.014019 0.040426
3.073000 -1.505000 -0.062000 0.227704 0.250637 -0.940921
3.071000 -1.513000 -0.065000 0.222650 0.254680 -0.941045
3.072000 -1.524000 -0.068000 0.181575 0.261825 -0.947881
3.068000 -1.531000 -0.070000 0.102174 0.269474 -0.957572
3.066000 -1.541000 -0.073000 0.057390 0.275515 -0.959582
3.066000 -1.550000 -0.076000 0.014762 0.280571 -0.959720
3.068000 -1.561000 -0.079000 0.010324 0.284706 -0.958559
3.071000 -1.572000 -0.082000 0.035038 0.286625 -0.957402
3.069000 -1.581000 -0.085000 0.055672 0.287678 -0.956108
3.066000 -1.589000 -0.087000 -0.001506 0.292553 -0.956248
3.065000 -1.598000 -0.090000 -0.001506 0.292553 -0.956248
3.065000 -1.608000 -0.094000 0.151832 0.296060 -0.943025
3.068000 -1.619000 -0.097000 0.148858 0.310498 -0.938846
3.071000 -1.630000 -0.100000 0.157892 0.316239 -0.935448
3.068000 -1.638000 -0.103000 0.161685 0.318576 -0.934006
3.067000 -1.647000 -0.106000 0.158374 0.322056 -0.933380
3.130000 -1.690000 -0.112000 0.150010 0.331800 -0.931346
3.154000 -1.713000 -0.116000 0.148989 0.321634 -0.935069
3.136000 -1.713000 -0.119000 0.150964 0.340226 -0.928146
3.108000 -1.706000 -0.121000 -0.155496 -0.335105 0.929261
